"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",747.194195359907,-0.35070302068659,0.168245681332904,-2.08446967499072,0.0371174658436988,0.163034808643509
"ENSG00000000005",0,NA,NA,NA,NA,NA
"ENSG00000000419",520.134160051965,0.206107766417875,0.101059218008477,2.03947517583786,0.0414026263009583,0.176031664880929
"ENSG00000000457",322.664843927049,0.0245269479387422,0.145145067649733,0.168982303952147,0.865810560624032,0.961694238404911
"ENSG00000000460",87.682625164828,-0.147142049222083,0.257007253995456,-0.572520996721303,0.566969065259217,0.815848587639735
"ENSG00000000938",0.319166568913118,-1.73228897394308,3.49360097648095,-0.495846258804286,0.620002884826012,NA
"ENSG00000000971",5760.14836162122,0.459281905807024,0.234311633845833,1.96013274402419,0.049980276942436,0.200944465784603
"ENSG00000001036",2025.39179382894,-0.228243688351358,0.12500530831861,-1.82587196832967,0.0678695494960578,0.246790954890227
"ENSG00000001084",652.173308358757,-0.253030787429105,0.20257659424,-1.24906230346301,0.211642286940056,0.495030492001103
"ENSG00000001167",411.684395281717,-0.533733396573775,0.228791461149347,-2.33283792101564,0.0196566535724102,0.105268747649983
"ENSG00000001460",201.336569053853,-0.123556348103723,0.161114727310501,-0.766884257983474,0.443150334002235,0.730583672004095
"ENSG00000001461",2918.77668675377,0.00210152395872051,0.288704344043328,0.00727915600191011,0.994192125099897,0.998014166808374
"ENSG00000001497",539.501702816792,-0.0573211492611391,0.109341581210266,-0.524239256709753,0.60011213978007,0.837621133649539
"ENSG00000001561",115.914401421895,0.286816638209842,0.715972980502255,0.400597014161959,0.688716844327322,0.8871172971338
"ENSG00000001617",604.297522477042,-0.192202806884414,0.198690550510715,-0.967347497857222,0.333370346700489,0.639074750804541
"ENSG00000001626",9.6724145714589,-0.286388065302273,0.586258600934622,-0.488501260102128,0.625194833387952,NA
"ENSG00000001629",1826.75812135437,-0.246091165637127,0.190393072929381,-1.29254264270636,0.196169288316226,0.47444648220205
"ENSG00000001630",979.608386428198,-0.179753249342174,0.121379855929009,-1.48091499999231,0.138629225360665,0.386406073068988
"ENSG00000001631",848.723819299268,-0.0712550209851393,0.15365280323451,-0.46374045565825,0.642833708758516,0.862101878964644
"ENSG00000002016",203.735815126675,-0.411582595769084,0.228455036442651,-1.80159125479557,0.0716097381886263,0.255785255864799
"ENSG00000002079",3.06484852801131,1.0611299455254,1.77213592724289,0.598785865809018,0.549315688868312,NA
"ENSG00000002330",688.667589034695,0.0103246419431184,0.0964225022821867,0.107077100248888,0.914727814058465,0.97698945749072
"ENSG00000002549",1229.98469317186,0.164300728725491,0.177395585312048,0.926182736940594,0.354351022346393,0.656729477669879
"ENSG00000002586",8367.26727634875,0.079289430876064,0.131640081100457,0.602319827010413,0.546961265486102,0.801490814632438
"ENSG00000002587",1.95953335698007,0.399056442748628,1.15881067604339,0.344367247384323,0.730570117049074,NA
"ENSG00000002726",1.53531673945229,0.804939605370724,1.80336251423484,0.446354850462365,0.655340940971811,NA
"ENSG00000002745",7.28561888515924,-0.616755840397049,1.02005314561398,-0.604631085202738,0.545424147476132,NA
"ENSG00000002746",126.130005973738,0.193681254724163,0.308349478771358,0.62812252998092,0.529923674967424,0.788533509273103
"ENSG00000002822",351.152304336473,-0.0573898319667548,0.150034116411939,-0.382511880225849,0.702081718535576,0.893013427124055
"ENSG00000002834",8609.18275618938,0.416875055371325,0.1082969836171,3.84936903547792,0.000118422479338134,0.00183011066283269
"ENSG00000002919",251.500095596273,0.341973669874962,0.144338780690489,2.36924316693701,0.0178245300406525,0.0988113131279949
"ENSG00000002933",546.441449222622,0.404466498425362,1.40062631378887,0.288775453126558,0.772753217770892,0.925756744263937
"ENSG00000003056",1837.96769229328,-0.00770187687693593,0.100389433711617,-0.0767199952443266,0.938846297516421,0.983555502335436
"ENSG00000003096",414.075308683702,-0.964578629321608,0.191741904271731,-5.03060941730628,4.88923265891134e-07,1.4928917060325e-05
"ENSG00000003137",106.506412172302,-1.03077632905585,0.583074413478528,-1.76782980907429,0.0770893599144571,0.267760568986512
"ENSG00000003147",9.33188603208963,0.254911504755404,0.570505284733652,0.446817078783789,0.655007138939522,NA
"ENSG00000003249",122.242063046478,-0.368497975015854,0.353315002468504,-1.04297290644686,0.296960841171254,0.600626063990265
"ENSG00000003393",860.859802380907,0.0548919352194593,0.166834695848,0.329019901648458,0.742140645414731,0.912907738369566
"ENSG00000003400",95.3711570248671,-0.178398908375816,0.354603466801261,-0.503094089815543,0.614898121801159,0.845066429644152
"ENSG00000003402",3368.72335143759,1.16249955503505,0.126138593252962,9.21604978346111,3.08247090040748e-20,7.91254606553751e-18
"ENSG00000003436",5053.34063480256,-0.325443615737939,0.19941174475115,-1.63201829533194,0.102675632127676,0.322727153594647
"ENSG00000003509",302.835086615061,-0.100895148270164,0.125090107321184,-0.806579756232068,0.419908640722238,0.713270117063515
"ENSG00000003756",2957.87449781706,-0.183767842696341,0.0805067784644814,-2.28263813558776,0.0224516926508767,0.115147607584669
"ENSG00000003987",30.2673614014711,0.754687159849457,0.350816093213987,2.15123300911147,0.0314578128454282,0.146009370378183
"ENSG00000003989",39.5398447202775,0.58693234913441,0.73028157831102,0.803706907809252,0.421566263730165,0.714323233854705
"ENSG00000004059",1684.3217819095,0.37968977103963,0.11419425366863,3.32494638601883,0.000884355393155477,0.00941039458822086
"ENSG00000004139",312.643392000576,-0.0807770695340688,0.204992488866265,-0.394048923357221,0.693544919624475,0.889780575003377
"ENSG00000004142",1468.18173216884,0.152287930258552,0.127375714151656,1.19558058043337,0.231860273432282,0.523015168473625
"ENSG00000004399",3661.96471974267,-0.0519472643852793,0.217224517166478,-0.239140890093302,0.810996335736449,0.941262894070696
"ENSG00000004455",1236.90625297069,-0.091856797210611,0.164577790992835,-0.558136044094855,0.576751489362945,0.821567090519357
"ENSG00000004468",5.59935950029571,0.241581280751129,0.814160769394588,0.296724295535352,0.766677006807131,NA
"ENSG00000004478",612.469678830193,-0.00303832191426358,0.166569999965577,-0.0182405109857205,0.985446984911892,0.995355988415738
"ENSG00000004487",1255.80031118487,-0.334105525803978,0.0960383685466715,-3.47887548341279,0.000503522488067958,0.00602833840457646
"ENSG00000004534",1306.14906893784,-0.303531255147868,0.158959516858263,-1.90948778120981,0.0561991964869904,0.217793457214808
"ENSG00000004660",79.865424377978,-0.645176178926641,0.378102799643159,-1.70635123446728,0.0879427042576942,0.291633951386639
"ENSG00000004700",1510.20849871797,0.409553280859459,0.119162326764859,3.43693591740301,0.000588334782722946,0.00677211546940888
"ENSG00000004766",495.212595858396,-0.114356684939013,0.12994110652919,-0.880065500391314,0.378823827183776,0.677801189338966
"ENSG00000004776",12520.3502740741,-0.154542224152933,0.245604661254275,-0.629231641466833,0.529197416702828,0.787974866400484
"ENSG00000004777",104.39554381318,-0.471433085352384,0.409422542903285,-1.15145854453781,0.249543640579517,0.544511128678806
"ENSG00000004779",366.340319770589,0.109903471791767,0.136529808340387,0.804977851560176,0.420832460945946,0.713813439526631
